Medal,Name,Sex,NOC,Event,Sport,City,Team,Games,Year,Weight,Height,Age,Season,ID
Bronze,MURTAGH Fiona,W,IRL,Women's Four,Rowing,Tokyo,Ireland,2020 Tokyo,2020,53,180,30,Summer,0
Gold,ZHANG Ling,W,CHN,Women's Quadruple Sculls,Rowing,Tokyo,China,2020 Tokyo,2020,112,199,21,Summer,0
Gold,CHEN Yunxia,W,CHN,Women's Quadruple Sculls,Rowing,Tokyo,China,2020 Tokyo,2020,52,188,30,Summer,0
Gold,CUI Xiaotong,W,CHN,Women's Quadruple Sculls,Rowing,Tokyo,China,2020 Tokyo,2020,59,160,31,Summer,0
Gold,LYU Yang,W,CHN,Women's Quadruple Sculls,Rowing,Tokyo,China,2020 Tokyo,2020,82,197,27,Summer,0
Silver,ZILLMANN Katarzyna,W,POL,Women's Quadruple Sculls,Rowing,Tokyo,Poland,2020 Tokyo,2020,150,180,32,Summer,0
Silver,KOBUS-ZAWOJSKA Agnieszka,W,POL,Women's Quadruple Sculls,Rowing,Tokyo,Poland,2020 Tokyo,2020,77,174,25,Summer,0
Silver,SAJDAK Maria,W,POL,Women's Quadruple Sculls,Rowing,Tokyo,Poland,2020 Tokyo,2020,128,178,29,Summer,0
Silver,WIELICZKO Marta,W,POL,Women's Quadruple Sculls,Rowing,Tokyo,Poland,2020 Tokyo,2020,130,191,27,Summer,0
Bronze,MEREDITH Rowena,W,AUS,Women's Quadruple Sculls,Rowing,Tokyo,Australia,2020 Tokyo,2020,67,165,30,Summer,0
Bronze,HUDSON Harriet,W,AUS,Women's Quadruple Sculls,Rowing,Tokyo,Australia,2020 Tokyo,2020,143,153,21,Summer,0
Bronze,THOMPSON Ria,W,AUS,Women's Quadruple Sculls,Rowing,Tokyo,Australia,2020 Tokyo,2020,67,163,34,Summer,0
Bronze,CRONIN Caitlin,W,AUS,Women's Quadruple Sculls,Rowing,Tokyo,Australia,2020 Tokyo,2020,79,181,33,Summer,0
Gold,VAKURUNABILI Josua,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,122,186,20,Summer,0
Gold,DERENALAGI Meli,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,107,161,27,Summer,0
Gold,NACUQU Waisea,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,102,148,34,Summer,0
Gold,TUIMABA Aminiasi,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,128,203,29,Summer,0
Gold,TUWAI Jerry,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,89,194,25,Summer,0
Gold,BOTITU Vilimoni,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,77,141,20,Summer,0
Gold,NASOKO Kalione,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,141,140,29,Summer,0
Gold,BOLACA Napolioni,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,86,199,22,Summer,0
Gold,TUIVUAKA Asaeli,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,52,145,20,Summer,0
Gold,WAINIQOLO Jiuta,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,80,189,22,Summer,0
Gold,RADRADRA Semi,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,120,158,24,Summer,0
Gold,MAQALA Sireli,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,99,180,33,Summer,0
Gold,BALEIWAIRIKI Iosefo Masikau,M,FIJ,Men,Rugby Sevens,Tokyo,Fiji,2020 Tokyo,2020,84,142,20,Summer,0
Silver,WARBRICK William,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,138,208,19,Summer,0
Silver,WARE Regan,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,69,170,19,Summer,0
Silver,WEBBER Joe,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,127,207,33,Summer,0
Silver,NG SHIU Tone,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,127,179,22,Summer,0
Silver,NICOLE Amanaki,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,89,192,25,Summer,0
Silver,BAKER Kurt,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,92,190,26,Summer,0
Silver,COLLIER Dylan,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,109,147,24,Summer,0
Silver,CURRY Scott,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,107,150,27,Summer,0
Silver,KNEWSTUBB Andrew,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,100,189,29,Summer,0
Silver,McGARVEY-BLACK Ngarohi,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,121,152,24,Summer,0
Silver,MIKKELSON Tim,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,122,157,29,Summer,0
Silver,MOLIA Sione,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,61,143,31,Summer,0
Silver,NANAI-SETURO Etene,M,NZL,Men,Rugby Sevens,Tokyo,New Zealand,2020 Tokyo,2020,69,154,21,Summer,0
Bronze,ALVAREZ Santiago,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,106,165,34,Summer,0
Bronze,BAZAN VELEZ Lautaro,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,113,185,26,Summer,0
Bronze,del MESTRE Felipe,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,58,149,21,Summer,0
Bronze,OSADCZUK Matias,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,54,176,21,Summer,0
Bronze,ETCHART Rodrigo,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,81,153,32,Summer,0
Bronze,REVOL Gaston,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,56,180,19,Summer,0
Bronze,GONZALEZ Luciano,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,65,180,26,Summer,0
Bronze,MARE Santiago,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,100,154,24,Summer,0
Bronze,MONETA Marcos,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,83,175,33,Summer,0
Bronze,CINTI Lucio,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,108,153,29,Summer,0
Bronze,MENDY Ignacio,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,91,153,20,Summer,0
Bronze,SCHULZ German,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,56,164,25,Summer,0
Bronze,ISGRO Rodrigo,M,ARG,Men,Rugby Sevens,Tokyo,Argentina,2020 Tokyo,2020,55,193,27,Summer,0
Gold,MILAK Kristof,M,HUN,Men's 200m Butterfly,Swimming,Tokyo,Hungary,2020 Tokyo,2020,80,161,21,Summer,0
Silver,HONDA Tomoru,M,JPN,Men's 200m Butterfly,Swimming,Tokyo,Japan,2020 Tokyo,2020,62,205,27,Summer,0
Bronze,BURDISSO Federico,M,ITA,Men's 200m Butterfly,Swimming,Tokyo,Italy,2020 Tokyo,2020,66,155,33,Summer,0
Gold,SCOTT Duncan,M,GBR,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,UK,2020 Tokyo,2020,135,208,29,Summer,0
Gold,DEAN Tom,M,GBR,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,UK,2020 Tokyo,2020,83,144,19,Summer,0
Gold,JARVIS Calum,M,GBR,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,UK,2020 Tokyo,2020,137,207,27,Summer,0
Gold,GUY James,M,GBR,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,UK,2020 Tokyo,2020,103,198,34,Summer,0
Gold,RICHARDS Matthew,M,GBR,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,UK,2020 Tokyo,2020,133,199,20,Summer,0
Silver,RYLOV Evgeny,M,ROC,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,,2020 Tokyo,2020,86,146,33,Summer,0
Silver,VEKOVISHCHEV Mikhail,M,ROC,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,,2020 Tokyo,2020,95,159,29,Summer,0
Silver,GIREV Ivan,M,ROC,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,,2020 Tokyo,2020,88,202,31,Summer,0
Silver,DOVGALYUK Mikhail,M,ROC,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,,2020 Tokyo,2020,92,180,32,Summer,0
Silver,KRASNYKH Aleksandr,M,ROC,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,,2020 Tokyo,2020,66,146,22,Summer,0
Silver,MALYUTIN Martin,M,ROC,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,,2020 Tokyo,2020,108,143,32,Summer,0
Bronze,WINNINGTON Elijah,M,AUS,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,107,191,21,Summer,0
Bronze,INCERTI Zac,M,AUS,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,118,197,30,Summer,0
Bronze,GRAHAM Alexander,M,AUS,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,93,155,24,Summer,0
Bronze,HORTON Mack,M,AUS,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,57,175,27,Summer,0
Bronze,CHALMERS Kyle,M,AUS,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,93,161,24,Summer,0
Bronze,NEILL Thomas,M,AUS,Men's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,125,203,27,Summer,0
Gold,LEDECKY Kathleen,W,USA,Women's 1500m Freestyle,Swimming,Tokyo,USA,2020 Tokyo,2020,57,161,25,Summer,0
Silver,SULLIVAN Erica,W,USA,Women's 1500m Freestyle,Swimming,Tokyo,USA,2020 Tokyo,2020,130,175,29,Summer,0
Bronze,KOHLER Sarah,W,GER,Women's 1500m Freestyle,Swimming,Tokyo,Germany,2020 Tokyo,2020,106,172,33,Summer,0
Gold,TITMUS Ariarne,W,AUS,Women's 200m Freestyle,Swimming,Tokyo,Australia,2020 Tokyo,2020,105,168,34,Summer,0
Silver,HAUGHEY Siobhan Bernadette,W,HKG,Women's 200m Freestyle,Swimming,Tokyo,China,2020 Tokyo,2020,124,200,20,Summer,0
Bronze,OLEKSIAK Penny,W,CAN,Women's 200m Freestyle,Swimming,Tokyo,Canada,2020 Tokyo,2020,136,208,27,Summer,0
Gold,OHASHI Yui,W,JPN,Women's 200m Individual Medley,Swimming,Tokyo,Japan,2020 Tokyo,2020,57,171,30,Summer,0
Silver,WALSH Alex,W,USA,Women's 200m Individual Medley,Swimming,Tokyo,USA,2020 Tokyo,2020,128,156,19,Summer,0
Bronze,DOUGLASS Kate,W,USA,Women's 200m Individual Medley,Swimming,Tokyo,USA,2020 Tokyo,2020,101,203,20,Summer,0
Gold,SHI Zhiyong,M,CHN,Men's 73kg,Weightlifting,Tokyo,China,2020 Tokyo,2020,78,186,33,Summer,0
Silver,MAYORA PERNIA Julio Ruben,M,VEN,Men's 73kg,Weightlifting,Tokyo,Venezuela,2020 Tokyo,2020,146,202,24,Summer,0
Bronze,ABDULLAH Rahmat Erwin,M,INA,Men's 73kg,Weightlifting,Tokyo,Indonesia,2020 Tokyo,2020,86,191,24,Summer,0
Gold,LEE Sunisa,W,USA,Women's All-Around,Gymnastics,Tokyo,USA,2020 Tokyo,2020,62,143,27,Summer,0
Silver,ANDRADE Rebeca,W,BRA,Women's All-Around,Gymnastics,Tokyo,Brazil,2020 Tokyo,2020,97,170,27,Summer,0
Bronze,MELNIKOVA Angelina,W,ROC,Women's All-Around,Gymnastics,Tokyo,,2020 Tokyo,2020,110,207,33,Summer,0
Gold,FOX Jessica,W,AUS,Women's Canoe,Canoeing,Tokyo,Australia,2020 Tokyo,2020,104,173,21,Summer,0
Silver,FRANKLIN Mallory,W,GBR,Women's Canoe,Canoeing,Tokyo,UK,2020 Tokyo,2020,127,179,27,Summer,0
Bronze,HERZOG Andrea,W,GER,Women's Canoe,Canoeing,Tokyo,Germany,2020 Tokyo,2020,56,187,32,Summer,0
Gold,DERIGLAZOVA Inna,W,ROC,Women's Foil Team,Fencing,Tokyo,,2020 Tokyo,2020,104,208,20,Summer,0
Gold,ZAGIDULLINA Adelina,W,ROC,Women's Foil Team,Fencing,Tokyo,,2020 Tokyo,2020,135,141,33,Summer,0
Gold,KOROBEYNIKOVA Larisa,W,ROC,Women's Foil Team,Fencing,Tokyo,,2020 Tokyo,2020,56,195,26,Summer,0
Gold,MARTYANOVA Marta,W,ROC,Women's Foil Team,Fencing,Tokyo,,2020 Tokyo,2020,150,174,22,Summer,0
Silver,BLAZE Anita,W,FRA,Women's Foil Team,Fencing,Tokyo,France,2020 Tokyo,2020,134,148,32,Summer,0
Silver,GUYART Astrid,W,FRA,Women's Foil Team,Fencing,Tokyo,France,2020 Tokyo,2020,82,142,34,Summer,0
Silver,RANVIER Pauline,W,FRA,Women's Foil Team,Fencing,Tokyo,France,2020 Tokyo,2020,67,177,20,Summer,0
Silver,THIBUS Ysaora,W,FRA,Women's Foil Team,Fencing,Tokyo,France,2020 Tokyo,2020,115,203,30,Summer,0
Bronze,VOLPI Alice,W,ITA,Women's Foil Team,Fencing,Tokyo,Italy,2020 Tokyo,2020,135,208,26,Summer,0
Bronze,ERRIGO Arianna,W,ITA,Women's Foil Team,Fencing,Tokyo,Italy,2020 Tokyo,2020,65,208,20,Summer,0
Bronze,BATINI Martina,W,ITA,Women's Foil Team,Fencing,Tokyo,Italy,2020 Tokyo,2020,92,173,30,Summer,0
Bronze,CIPRESSA Erica,W,ITA,Women's Foil Team,Fencing,Tokyo,Italy,2020 Tokyo,2020,96,162,22,Summer,0
Gold,WOLF Aaron,M,JPN,Men -100 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,82,159,34,Summer,0
Silver,CHO Guham,M,KOR,Men -100 kg,Judo,Tokyo,South Korea,2020 Tokyo,2020,66,182,21,Summer,0
Bronze,ILIASOV Niiaz,M,ROC,Men -100 kg,Judo,Tokyo,,2020 Tokyo,2020,58,179,25,Summer,0
Bronze,FONSECA Jorge,M,POR,Men -100 kg,Judo,Tokyo,Portugal,2020 Tokyo,2020,108,176,34,Summer,0
Gold,HAMADA Shori,W,JPN,Women -78 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,146,208,34,Summer,0
Silver,MALONGA Madeleine,W,FRA,Women -78 kg,Judo,Tokyo,France,2020 Tokyo,2020,99,169,29,Summer,0
Bronze,AGUIAR Mayra,W,BRA,Women -78 kg,Judo,Tokyo,Brazil,2020 Tokyo,2020,87,204,30,Summer,0
Bronze,WAGNER Anna-Maria,W,GER,Women -78 kg,Judo,Tokyo,Germany,2020 Tokyo,2020,129,173,30,Summer,0
Gold,Mc CARTHY Fintan,M,IRL,Lightweight Men's Double Sculls,Rowing,Tokyo,Ireland,2020 Tokyo,2020,51,178,18,Summer,0
Gold,O'DONOVAN Paul,M,IRL,Lightweight Men's Double Sculls,Rowing,Tokyo,Ireland,2020 Tokyo,2020,105,197,18,Summer,0
Silver,ROMMELMANN Jonathan,M,GER,Lightweight Men's Double Sculls,Rowing,Tokyo,Germany,2020 Tokyo,2020,114,169,30,Summer,0
Silver,OSBORNE Jason,M,GER,Lightweight Men's Double Sculls,Rowing,Tokyo,Germany,2020 Tokyo,2020,122,155,28,Summer,0
Bronze,OPPO Stefano,M,ITA,Lightweight Men's Double Sculls,Rowing,Tokyo,Italy,2020 Tokyo,2020,109,205,18,Summer,0
Bronze,RUTA Pietro,M,ITA,Lightweight Men's Double Sculls,Rowing,Tokyo,Italy,2020 Tokyo,2020,106,155,26,Summer,0
Gold,CESARINI Federica,W,ITA,Lightweight Women's Double Sculls,Rowing,Tokyo,Italy,2020 Tokyo,2020,141,201,34,Summer,0
Gold,RODINI Valentina,W,ITA,Lightweight Women's Double Sculls,Rowing,Tokyo,Italy,2020 Tokyo,2020,115,169,31,Summer,0
Silver,BOVE Claire,W,FRA,Lightweight Women's Double Sculls,Rowing,Tokyo,France,2020 Tokyo,2020,74,157,33,Summer,0
Silver,TARANTOLA Laura,W,FRA,Lightweight Women's Double Sculls,Rowing,Tokyo,France,2020 Tokyo,2020,85,178,33,Summer,0
Bronze,KEIJSER Marieke,W,NED,Lightweight Women's Double Sculls,Rowing,Tokyo,Netherlands,2020 Tokyo,2020,123,190,19,Summer,0
Bronze,PAULIS Ilse,W,NED,Lightweight Women's Double Sculls,Rowing,Tokyo,Netherlands,2020 Tokyo,2020,86,206,34,Summer,0
Gold,SINKOVIC Martin,M,CRO,Men's Pair,Rowing,Tokyo,Croatia,2020 Tokyo,2020,79,183,18,Summer,0
Gold,SINKOVIC Valent,M,CRO,Men's Pair,Rowing,Tokyo,Croatia,2020 Tokyo,2020,61,167,33,Summer,0
Silver,COZMIUC Marius,M,ROU,Men's Pair,Rowing,Tokyo,Romania,2020 Tokyo,2020,123,146,25,Summer,0
Silver,TUDOSA Ciprian,M,ROU,Men's Pair,Rowing,Tokyo,Romania,2020 Tokyo,2020,124,146,31,Summer,0
Bronze,VYSTAVEL Frederic,M,DEN,Men's Pair,Rowing,Tokyo,Denmark,2020 Tokyo,2020,145,161,34,Summer,0
Bronze,SUTTON Joachim,M,DEN,Men's Pair,Rowing,Tokyo,Denmark,2020 Tokyo,2020,150,148,26,Summer,0
Gold,PRENDERGAST Grace,W,NZL,Women's Pair,Rowing,Tokyo,New Zealand,2020 Tokyo,2020,130,170,28,Summer,0
Gold,GOWLER Kerri,W,NZL,Women's Pair,Rowing,Tokyo,New Zealand,2020 Tokyo,2020,51,159,19,Summer,0
Silver,ORIABINSKAIA Elena,W,ROC,Women's Pair,Rowing,Tokyo,,2020 Tokyo,2020,58,193,31,Summer,0
Silver,STEPANOVA Vasilisa,W,ROC,Women's Pair,Rowing,Tokyo,,2020 Tokyo,2020,89,202,23,Summer,0
Bronze,JANSSENS Hillary,W,CAN,Women's Pair,Rowing,Tokyo,Canada,2020 Tokyo,2020,145,179,18,Summer,0
Bronze,FILMER Caileigh,W,CAN,Women's Pair,Rowing,Tokyo,Canada,2020 Tokyo,2020,61,179,26,Summer,0
Gold,LIPTAK Jiri,M,CZE,Trap Men,Shooting,Tokyo,Czech Republic,2020 Tokyo,2020,66,160,29,Summer,0
Silver,KOSTELECKY David,M,CZE,Trap Men,Shooting,Tokyo,Czech Republic,2020 Tokyo,2020,140,184,34,Summer,0
Bronze,COWARD HOLLEY Matthew John,M,GBR,Trap Men,Shooting,Tokyo,UK,2020 Tokyo,2020,91,141,18,Summer,0
Gold,REHAK STEFECEKOVA Zuzana,W,SVK,Trap Women,Shooting,Tokyo,Slovakia,2020 Tokyo,2020,147,160,32,Summer,0
Silver,BROWNING Kayle,W,USA,Trap Women,Shooting,Tokyo,USA,2020 Tokyo,2020,52,194,23,Summer,0
Bronze,PERILLI Alessandra,W,SMR,Trap Women,Shooting,Tokyo,San Marino,2020 Tokyo,2020,110,176,18,Summer,0
Gold,DRESSEL Caeleb,M,USA,Men's 100m Freestyle,Swimming,Tokyo,USA,2020 Tokyo,2020,112,144,23,Summer,0
Silver,CHALMERS Kyle,M,AUS,Men's 100m Freestyle,Swimming,Tokyo,Australia,2020 Tokyo,2020,101,147,25,Summer,0
Bronze,KOLESNIKOV Kliment,M,ROC,Men's 100m Freestyle,Swimming,Tokyo,,2020 Tokyo,2020,118,207,19,Summer,0
Gold,STUBBLETY-COOK Izaac,M,AUS,Men's 200m Breaststroke,Swimming,Tokyo,Australia,2020 Tokyo,2020,118,163,19,Summer,0
Silver,KAMMINGA Arno,M,NED,Men's 200m Breaststroke,Swimming,Tokyo,Netherlands,2020 Tokyo,2020,77,207,24,Summer,0
Bronze,MATTSSON Matti,M,FIN,Men's 200m Breaststroke,Swimming,Tokyo,Finland,2020 Tokyo,2020,73,187,26,Summer,0
Gold,FINKE Robert,M,USA,Men's 800m Freestyle,Swimming,Tokyo,USA,2020 Tokyo,2020,65,142,24,Summer,0
Silver,PALTRINIERI Gregorio,M,ITA,Men's 800m Freestyle,Swimming,Tokyo,Italy,2020 Tokyo,2020,128,194,21,Summer,0
Bronze,ROMANCHUK Mykhailo,M,UKR,Men's 800m Freestyle,Swimming,Tokyo,Ukraine,2020 Tokyo,2020,120,194,29,Summer,0
Gold,ZHANG Yufei,W,CHN,Women's 200m Butterfly,Swimming,Tokyo,China,2020 Tokyo,2020,127,154,22,Summer,0
Silver,SMITH Regan,W,USA,Women's 200m Butterfly,Swimming,Tokyo,USA,2020 Tokyo,2020,102,169,21,Summer,0
Bronze,FLICKINGER Hali,W,USA,Women's 200m Butterfly,Swimming,Tokyo,USA,2020 Tokyo,2020,62,177,32,Summer,0
Gold,YANG Junxuan,W,CHN,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,China,2020 Tokyo,2020,123,204,26,Summer,0
Gold,ZHANG Yufei,W,CHN,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,China,2020 Tokyo,2020,74,177,32,Summer,0
Gold,DONG Jie,W,CHN,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,China,2020 Tokyo,2020,86,173,18,Summer,0
Gold,ZHANG Yifan,W,CHN,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,China,2020 Tokyo,2020,78,143,24,Summer,0
Gold,TANG Muhan,W,CHN,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,China,2020 Tokyo,2020,68,182,22,Summer,0
Gold,LI Bingjie,W,CHN,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,China,2020 Tokyo,2020,58,188,18,Summer,0
Silver,MADDEN Paige,W,USA,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,118,158,27,Summer,0
Silver,Mc LAUGHLIN Kathryn,W,USA,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,139,165,32,Summer,0
Silver,SIMS Arabella,W,USA,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,101,166,24,Summer,0
Silver,LEDECKY Kathleen,W,USA,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,60,187,22,Summer,0
Silver,FORDE Brooke,W,USA,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,82,159,18,Summer,0
Silver,SCHMITT Allison,W,USA,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,130,185,32,Summer,0
Bronze,THROSSELL Brianna,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,128,141,26,Summer,0
Bronze,WILSON Madison,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,107,152,29,Summer,0
Bronze,O'CALLAGHAN Mollie,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,61,176,34,Summer,0
Bronze,COOK Tamsin,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,137,202,22,Summer,0
Bronze,HARRIS Meg,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,85,186,22,Summer,0
Bronze,TITMUS Ariarne,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,57,151,30,Summer,0
Bronze,NEALE Leah,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,68,141,23,Summer,0
Bronze,McKEON Emma,W,AUS,Women's 4 x 200m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,98,155,30,Summer,0
Gold,CHEN Meng,W,CHN,Women's Singles,Table Tennis,Tokyo,China,2020 Tokyo,2020,113,188,18,Summer,0
Silver,SUN Yingsha,W,CHN,Women's Singles,Table Tennis,Tokyo,China,2020 Tokyo,2020,101,185,21,Summer,0
Bronze,ITO Mima,W,JPN,Women's Singles,Table Tennis,Tokyo,Japan,2020 Tokyo,2020,67,200,23,Summer,0
Gold,AN San,W,KOR,Women's Individual,Archery,Tokyo,South Korea,2020 Tokyo,2020,82,157,20,Summer,0
Silver,OSIPOVA Elena,W,ROC,Women's Individual,Archery,Tokyo,,2020 Tokyo,2020,57,190,18,Summer,0
Bronze,BOARI Lucilla,W,ITA,Women's Individual,Archery,Tokyo,Italy,2020 Tokyo,2020,105,152,25,Summer,0
Gold,BAREGA Selemon,M,ETH,"Men's 10,000m",Athletics,Tokyo,Ethiopia,2020 Tokyo,2020,134,150,27,Summer,0
Silver,CHEPTEGEI Joshua,M,UGA,"Men's 10,000m",Athletics,Tokyo,Uganda,2020 Tokyo,2020,146,149,21,Summer,0
Bronze,KIPLIMO Jacob,M,UGA,"Men's 10,000m",Athletics,Tokyo,Uganda,2020 Tokyo,2020,56,159,32,Summer,0
Gold,WANG Yi Lyu,X,CHN,Mixed Doubles,Badminton,Tokyo,China,2020 Tokyo,2020,141,209,19,Summer,0
Gold,HUANG Dong Ping,X,CHN,Mixed Doubles,Badminton,Tokyo,China,2020 Tokyo,2020,76,152,23,Summer,0
Silver,ZHENG Si Wei,X,CHN,Mixed Doubles,Badminton,Tokyo,China,2020 Tokyo,2020,78,194,27,Summer,0
Silver,HUANG Ya Qiong,X,CHN,Mixed Doubles,Badminton,Tokyo,China,2020 Tokyo,2020,130,160,34,Summer,0
Bronze,WATANABE Yuta,X,JPN,Mixed Doubles,Badminton,Tokyo,Japan,2020 Tokyo,2020,137,190,24,Summer,0
Bronze,HIGASHINO Arisa,X,JPN,Mixed Doubles,Badminton,Tokyo,Japan,2020 Tokyo,2020,120,162,28,Summer,0
Gold,PRSKAVEC Jiri,M,CZE,Men's Kayak,Canoeing,Tokyo,Czech Republic,2020 Tokyo,2020,74,150,26,Summer,0
Silver,GRIGAR Jakub,M,SVK,Men's Kayak,Canoeing,Tokyo,Slovakia,2020 Tokyo,2020,98,152,26,Summer,0
Bronze,AIGNER Hannes,M,GER,Men's Kayak,Canoeing,Tokyo,Germany,2020 Tokyo,2020,93,141,18,Summer,0
Gold,KIMMANN Niek,M,NED,Men,Cycling BMX Racing,Tokyo,Netherlands,2020 Tokyo,2020,64,147,31,Summer,0
Silver,WHYTE Kye,M,GBR,Men,Cycling BMX Racing,Tokyo,UK,2020 Tokyo,2020,148,190,21,Summer,0
Bronze,RAMIREZ YEPES Carlos Alberto,M,COL,Men,Cycling BMX Racing,Tokyo,Colombia,2020 Tokyo,2020,109,152,28,Summer,0
Gold,SHRIEVER Bethany,W,GBR,Women,Cycling BMX Racing,Tokyo,UK,2020 Tokyo,2020,56,186,21,Summer,0
Silver,PAJON Mariana,W,COL,Women,Cycling BMX Racing,Tokyo,Colombia,2020 Tokyo,2020,142,185,28,Summer,0
